Name,Withdrawal Amount (ETB),Withdrawal Successful
Marta Henok,9247.92,No
Demelash Wondimu,3247.09,No
Zerihun Leul,7272.44,Yes
Eyob Hussen,1064.44,Yes
Aster Habtamu,475.12,Yes
Sossina Mamo,4305.5,Yes
Getahun Yemane,8315.54,Yes
Hiwot Leul,1510.97,Yes
Yordanos Wolde,107.9,Yes
Hussen Asnake,3930.56,Yes
Banchi Abiyot,1801.06,Yes
Zewdu Misgana,7537.5,Yes
Selamawit Tilahun,6592.02,Yes
Kidist Dagnachew,7316.58,No
Sara Sintayehu,3927.84,Yes
Binyam Hailu,6385.58,Yes
Girma Abebe,5203.65,Yes
Tesfu Habtamu,3156.34,Yes
Yemane Nebiyu,8117.37,Yes
Tadesse Zerihun,3041.03,Yes
Moges Tilahun,8814.68,Yes
Hana Adamu,8338.11,Yes
Gelila Mekuria,4111.88,Yes
Dagmawit Kidane,7802.7,Yes
Kidane Kibrom,8870.21,Yes
Henok Nebiyu,5352.31,Yes
Yewbdar Sisay,5642.75,Yes
Zegeye Getnet,9245.68,Yes
Eden Mesfin,1051.01,Yes
Rediet Chalachew,1382.75,Yes
Adanech Melaku,8719.6,Yes
Tesfaye Geremew,8647.51,Yes
Bereket Nega,4280.88,Yes
Nega Redae,2258.75,No
Hiwot Wondimu,2059.63,Yes
Sara Mulugeta,687.18,Yes
Helina Endale,6229.95,Yes
Mahlet Dagnachew,9573.16,Yes
Wolde Eyob,2247.12,No
Tamirat Tsegaye,571.72,Yes
Yordanos Zewdu,8283.11,Yes
Rediet Nebiyu,9541.58,Yes
Mekonnen Gebeyehu,7004.71,Yes
Tadese Melaku,7977.22,Yes
Demeke Tadesse,3462.61,Yes
Meron Zeleke,189.84,Yes
Almaz Dawit,7863.85,Yes
Bisrat Yared,2564.57,Yes
Tsion Getnet,6427.33,No
Legesse Samuel,9165.44,Yes
Mekuria Andargachew,4225.85,No
Tigist Eshetu,7245.55,Yes
Kidist Samuel,6236.43,Yes
Tadesse Yohannes,7993.15,Yes
Misgana Abiyot,8883.13,Yes
Wube Shiferaw,3332.91,Yes
Tsion Yohannes,8573.22,Yes
Worku Ermias,7780.52,Yes
Gelila Eshetu,4445.85,Yes
Demeke Yilma,5425.75,Yes
Zewditu Worku,6570.78,Yes
Alemnesh Dagnachew,8761.47,Yes
Sara Yonas,8940.15,Yes
Birhanu Negusu,5365.95,Yes
Getnet Mekuria,3009.06,Yes
Asnake Mengistu,4282.3,Yes
Andargachew Endale,712.28,No
Girma Samuel,7479.51,No
Tinsae Zegeye,8446.48,Yes
Tesfu Wube,9356.16,Yes
Geremew Geremew,2177.0,Yes
Zebiba Abiyot,6331.29,No
Fekadu Melaku,6148.01,Yes
Zewdu Desalegn,450.41,No
Rahel Ermias,7373.32,Yes
Demelash Kidane,6018.31,Yes
Nardos Getahun,7652.48,No
Abebech Desta,2666.08,Yes
Almaz Mitiku,735.25,Yes
Girma Samuel,5449.86,Yes
Geremew Abebe,3678.09,Yes
Almaz Mesfin,6382.83,Yes
Abiyot Yohannes,4190.37,No
Yohannes Habtemariam,3591.51,No
Tebarek Zerihun,5640.39,No
Zebene Girma,4695.01,No
Yesuf Shiferaw,6751.1,Yes
Tigist Tadese,9201.07,No
Getnet Tesfaye,3093.53,Yes
Yeshi Merid,1041.04,Yes
Hailemariam Hailu,8602.05,Yes
Ayantu Tamirat,8072.22,Yes
Helina Kibrom,5759.18,Yes
Endale Bereket,771.04,No
Firehiwot Abebe,4981.25,Yes
Zufan Tamirat,8175.09,Yes
Yonas Tadese,9348.65,Yes
Gebeyehu Mulugeta,2201.35,No
Zewdu Getahun,8229.73,Yes
Kidist Amare,3987.25,Yes
Misgana Eyob,5285.02,No
Yesuf Zeleke,8141.78,Yes
Solomon Zewdu,9421.69,Yes
Fikirte Kebede,4423.04,Yes
Mitiku Tamrat,748.15,Yes
Misrak Yemane,8292.05,Yes
Adanech Fekadu,6718.65,Yes
Girma Getahun,499.15,Yes
Hussen Desta,4835.57,No
Genet Zeleke,1705.99,Yes
Yeshi Melaku,3919.08,Yes
Kassahun Kassaye,5839.36,Yes
Fozia Fekadu,5987.31,Yes
Eshetu Amare,5540.07,Yes
Fikirte Haile,5280.38,Yes
Zewdu Abraham,3944.19,Yes
Wengel Ermias,498.02,Yes
Meron Adamu,7791.4,Yes
Girma Legesse,3968.53,Yes
Binyam Zegeye,2761.79,Yes
Legesse Melaku,2458.54,Yes
Merid Berhanu,2105.07,No
Wondimu Mengistu,8790.75,No
Sisay Dawit,9445.13,Yes
Adanech Muluken,7174.03,Yes
Senait Asnake,6250.12,Yes
Mekuria Tariku,6185.84,Yes
Abebech Mamo,6092.31,Yes
Hiwot Muluken,7176.81,No
Tadesse Melaku,3419.24,Yes
Almaz Ermias,4056.07,No
Wondimu Muluken,320.09,Yes
Eshetu Geremew,739.67,Yes
Zerihun Berhanu,5943.52,Yes
Girma Yared,7049.15,Yes
Mahlet Mesfin,3442.77,Yes
Kidist Tilahun,8259.76,Yes
Samuel Mitiku,5411.28,Yes
Fozia Ermias,6770.11,Yes
Luwam Ermias,6477.35,Yes
Ruth Gebru,6765.25,Yes
Bekele Teshome,2816.91,Yes
Ayantu Habtemariam,5710.84,Yes
Zufan Sisay,5870.27,Yes
Zeleke Mesfin,4577.68,Yes
Hana Zewdu,8883.84,No
Yordanos Demelash,9978.66,No
Tsion Demelash,8012.1,Yes
Fikirte Asnake,7276.3,No
Habtamu Kidist,8966.54,No
Gennet Kassahun,6166.26,Yes
Misrak Zegeye,5329.24,Yes
Sara Geremew,6807.3,Yes
Marta Desalegn,8605.97,No
Marta Tesfaye,2354.61,Yes
Yordanos Kassahun,7935.87,Yes
Ermias Nega,4115.58,Yes
Haimanot Selamawit,6943.63,Yes
Tigist Mitiku,9245.98,Yes
Tariku Yilma,5801.25,No
Wubit Mesfin,2552.94,No
Abebe Yemane,7269.72,No
Tigist Tamirat,7248.33,No
Kassaye Wube,5009.2,No
Zufan Getachew,8054.77,Yes
Mitiku Moges,3386.19,Yes
Zewditu Selamawit,9201.36,Yes
Meseret Eshetu,5480.77,Yes
Magi Mamo,6277.17,No
Sintayehu Biruk,4745.81,No
Mihret Gebeyehu,8652.43,Yes
Zegeye Ermias,7516.19,Yes
Tesfu Daniel,1671.11,Yes
Tadesse Gizachew,4391.42,Yes
Fikirte Abraham,2030.43,No
Sara Nega,1379.53,Yes
Wube Leul,777.72,Yes
Solomon Zewdu,9697.47,No
Lensa Eshetu,844.51,Yes
Hawi Wolde,522.24,Yes
Meaza Sintayehu,376.07,Yes
Sifan Samuel,4224.42,Yes
Ruth Mesfin,1958.34,Yes
Ayisha Habtemariam,7963.37,No
Chalachew Muluken,5179.66,Yes
Dagmawit Yared,5037.31,Yes
Tilahun Asnake,7708.31,Yes
Alemnesh Dagnachew,2180.7,No
Eyob Getachew,1118.58,Yes
Tebarek Kebede,2511.85,Yes
Tsion Dawit,7889.72,No
Tigist Getachew,4224.3,Yes
Kibrom Zerihun,8276.02,Yes
Gebru Worku,5222.71,Yes
Samuel Zegeye,8012.91,No
Demeke Tadesse,8222.83,No
Leul Habtamu,9625.55,Yes
Fekadu Nigussie,773.4,Yes
Kidist Samuel,2748.93,Yes
Leul Sintayehu,2713.46,Yes
Nardos Biruk,5029.24,Yes
Hussen Shiferaw,8599.31,Yes
Legesse Yohannes,1313.14,Yes
Tena Asnake,5582.56,Yes
Meseret Tariku,2752.06,Yes
Geremew Zerihun,5139.16,No
Kibrom Yonas,708.34,Yes
Zufan Leul,5904.14,Yes
Zewditu Legesse,8764.9,Yes
Kassaye Redae,9232.15,Yes
Sossina Solomon,4552.44,Yes
Lulit Getachew,9833.33,Yes
Milki Abebe,6750.52,Yes
Yemane Misgana,8431.76,No
Melaku Yonas,8216.52,Yes
Marta Andargachew,2020.41,Yes
Mulugeta Endale,230.94,Yes
Tamirat Muluken,614.26,Yes
Tinsae Getnet,4737.33,Yes
Fikirte Tsegaye,2686.26,Yes
Melaku Kassahun,6190.28,Yes
Lulit Melaku,4935.14,Yes
Alemnesh Tilahun,6385.33,No
Almaz Tamrat,3918.54,Yes
Birhanu Mamo,6761.59,Yes
Tigist Tamirat,9322.85,Yes
Sisay Nigussie,1675.13,Yes
Banchi Melaku,741.72,No
Hailemariam Yared,1205.04,No
Kidist Solomon,8614.55,Yes
Sifan Mulugeta,9733.08,Yes
Yeshi Mitiku,7420.95,Yes
Lulit Amare,7427.89,Yes
Mamo Habtamu,2486.91,Yes
Wubit Habtamu,5943.33,Yes
Abebech Habtamu,8768.71,Yes
Aster Tesfaye,8961.22,Yes
Yilma Tilahun,417.59,Yes
Wube Hailemariam,1635.7,Yes
Tadesse Legesse,1133.4,Yes
Selam Demelash,4931.88,Yes
Melaku Dawit,8823.1,Yes
Zeleke Nebiyu,6938.81,Yes
Nebiyu Tsegaye,3440.18,No
Milki Shiferaw,2597.93,Yes
Adanech Ermias,4782.84,Yes
Wolde Teshome,1911.75,Yes
Rediet Nebiyu,7034.6,Yes
Dawit Selamawit,4293.72,Yes
Geremew Geremew,8824.07,Yes
Gebru Kebede,5809.21,No
Tamrat Girma,4090.12,Yes
Tadese Dagnachew,6799.71,No
Sifan Worku,1531.08,Yes
Zufan Abebe,5513.73,Yes
Bisrat Tilahun,9716.28,No
Chalachew Gebeyehu,6083.33,Yes
Zebene Mitiku,2626.61,No
Yohannes Abraham,5131.9,Yes
Zebene Redae,747.55,Yes
Tinsae Mulugeta,7426.46,Yes
Ermias Yonas,5466.01,Yes
Samuel Hailu,1725.12,Yes
Ruth Adamu,6954.5,Yes
Wondimu Melaku,4282.89,Yes
Meaza Gebeyehu,7492.32,Yes
Girma Shiferaw,800.8,No
Desalegn Worku,6264.1,Yes
Nebiyu Chalachew,1889.08,Yes
Kidane Wube,219.03,No
Mihret Desalegn,5418.7,Yes
Kidist Yesuf,9934.28,No
Kassahun Tsegaye,4285.93,Yes
Helina Legesse,7945.42,Yes
Kidane Tadesse,7219.91,No
Senait Melaku,8354.24,No
Nigussie Tamirat,5485.92,Yes
Habtemariam Tadesse,9836.22,Yes
Sisay Biruk,4008.36,Yes
Dagmawit Getahun,9391.2,Yes
Mihret Tadese,196.02,Yes
Amare Gebru,644.52,Yes
Genet Habtemariam,5259.87,Yes
Naomi Gebeyehu,2917.13,Yes
Tigist Kidist,5767.68,Yes
Tigist Hailu,4022.57,Yes
Kassahun Tsegaye,8944.63,Yes
Rediet Zegeye,8592.25,Yes
Genet Yohannes,8403.93,Yes
Chalachew Gebeyehu,9700.29,Yes
Ayisha Tamrat,6796.62,Yes
Birhanu Solomon,7335.26,Yes
Meaza Yohannes,1983.72,No
Mitiku Yilma,687.8,Yes
Tinsae Mulugeta,2018.65,Yes
Zewditu Nebiyu,4503.08,Yes
Yeshi Tamrat,384.54,Yes
Selam Hailu,3365.58,Yes
Abraham Sisay,2099.21,No
Ruth Moges,4846.2,Yes
Nega Yemane,2781.88,Yes
Mitiku Amare,2887.72,Yes
Bisrat Melaku,2575.93,Yes
Tamrat Muluken,4292.2,Yes
Genet Abiyot,9261.32,Yes
Yilma Negusu,7918.64,Yes
Tigist Daniel,4375.38,Yes
Sifan Teshome,5835.82,Yes
Tebarek Mulugeta,7641.79,Yes
Dagnachew Misgana,9758.05,Yes
Sewit Getachew,2190.61,Yes
Selamawit Muluken,3140.82,Yes
Zegeye Eyob,5130.61,No
Gete Nebiyu,6561.13,Yes
Dagnachew Leul,5945.03,Yes
Lensa Yemane,1778.87,Yes
Melaku Abraham,7072.23,Yes
Tadesse Zerihun,2967.65,No
Tsegaye Yonas,4809.91,Yes
Dawit Leul,6009.03,Yes
Selam Samuel,9435.38,Yes
Assefu Ermias,1064.02,No
Tamirat Tadese,4088.83,Yes
Luwam Henok,2133.94,No
Misgana Tesfu,8805.02,Yes
Binyam Yonas,8175.08,Yes
Mulugeta Mulugeta,7193.34,Yes
Zewdu Kassaye,9173.81,Yes
Eyob Tesfaye,4287.59,No
Henok Melaku,7229.72,Yes
Hana Teshome,7402.91,Yes
Luwam Misgana,319.98,Yes
Adanech Yohannes,6283.92,Yes
Feven Mengistu,2622.91,No
Abraham Desalegn,4365.07,Yes
Mengistu Gebeyehu,2002.91,Yes
Lulit Kassaye,1553.07,Yes
Ruth Nebiyu,7935.91,Yes
Yared Nebiyu,6496.68,No
Zinash Samuel,4667.06,No
Zewditu Redae,9619.49,Yes
Teshome Yilma,9870.69,Yes
Demeke Berhanu,1018.5,Yes
Mitiku Tsegaye,6867.2,Yes
Tsion Asnake,5491.64,Yes
Getahun Yonas,6733.12,Yes
Sifan Andargachew,9374.58,Yes
Tigist Girma,615.85,Yes
Solomon Tamrat,623.25,No
Zewditu Eyob,7896.9,Yes
Mamo Kassahun,7659.66,Yes
Ruth Gebru,5733.51,Yes
Kibrom Biruk,3715.71,Yes
Tadese Mekonnen,1816.99,Yes
Nigussie Girma,4721.97,Yes
Yemane Misgana,4202.91,Yes
Bethelhem Abebe,9411.0,Yes
Lensa Bekele,2477.22,Yes
Berhanu Zerihun,4584.97,No
Mulu Yemane,6740.08,No
Melaku Asnake,9743.0,Yes
Kassahun Wolde,1290.79,No
Abigail Mulugeta,1557.89,Yes
Sisay Muluken,200.57,No
Amel Biruk,3326.38,Yes
Yohannes Endale,1092.64,Yes
Negusu Mengistu,2753.68,Yes
Sara Abiyot,2778.43,Yes
Kidane Yilma,9013.41,No
Yared Misgana,7508.45,Yes
Zebene Geremew,630.54,No
Habtemariam Tesfaye,2871.07,Yes
Rediet Fekadu,7017.7,Yes
Abebe Wondimu,2585.09,Yes
Firehiwot Wolde,3259.53,Yes
Girma Wolde,6288.21,No
Andargachew Tsegaye,264.53,Yes
Hirut Binyam,8342.45,No
Hana Yared,9230.87,Yes
Daniel Tesfaye,3712.79,Yes
Meron Kassahun,8166.95,No
Wengel Yemane,1376.81,No
Yesuf Mesfin,2079.09,No
Bekele Leul,7993.86,No
Endale Demeke,1976.18,No
Hirut Abiyot,1567.07,No
Yodit Geremew,9355.31,Yes
Habtemariam Yesuf,7070.13,Yes
Tariku Tadese,3263.78,Yes
Gennet Muluken,6684.3,Yes
Naomi Girma,9783.52,Yes
Tebarek Demeke,3920.88,Yes
Meron Mengistu,2714.41,Yes
Kidane Kibrom,9600.37,Yes
Genet Samuel,8494.52,Yes
Hirut Dagnachew,3737.78,Yes
Zegeye Dawit,891.79,Yes
Muluken Tadesse,8565.56,Yes
Yilma Zewdu,6983.51,No
Sewit Amare,4660.58,Yes
Ayantu Sintayehu,4487.45,Yes
Lensa Eyob,8476.49,Yes
Redae Tadese,7625.73,Yes
Mamo Habtamu,9801.89,Yes
Abebech Kidane,8096.67,Yes
Asnake Berhanu,6996.44,Yes
Alem Mitiku,6172.11,Yes
Nega Yonas,3456.66,Yes
Moges Dagnachew,9102.08,No
Adamu Getachew,9787.27,No
Moges Adamu,9478.14,Yes
Mihret Samuel,6864.35,Yes
Ayantu Yohannes,8955.9,Yes
Mamo Tadese,5221.03,Yes
Kibrom Mulugeta,2651.07,Yes
Yonas Mitiku,5415.39,Yes
Tigist Gebeyehu,4473.16,No
Banchi Wondimu,5194.24,Yes
Banchi Kebede,8036.84,Yes
Sossina Habtemariam,4492.37,Yes
Getachew Mitiku,6902.1,Yes
Desta Biruk,9510.6,Yes
Luwam Yared,4730.67,Yes
Gelila Teshome,8398.72,Yes
Bethelhem Habtamu,9534.4,Yes
Lulit Desta,7517.22,No
Redae Nebiyu,3885.18,No
Nigussie Yilma,2627.51,Yes
Helina Tesfu,1626.48,Yes
Sossina Biruk,9225.35,Yes
Sossina Desalegn,4110.9,Yes
Dawit Endale,6845.38,Yes
Demeke Worku,8640.89,No
Chalachew Gebeyehu,831.25,Yes
Selamawit Hailemariam,4386.51,Yes
Zewdu Ermias,6534.46,Yes
Dawit Kidist,7705.63,No
Gete Henok,7324.88,Yes
Abigail Mitiku,1880.09,No
Hewan Demeke,4270.89,Yes
Yonas Geremew,5785.32,Yes
Tesfu Melaku,1753.84,Yes
Eshetu Merid,480.82,Yes
Hana Demeke,4532.18,Yes
Adamu Kidane,9473.85,Yes
Meseret Berhanu,738.65,No
Chalachew Zerihun,276.3,Yes
Desta Nega,4133.85,Yes
Binyam Berhanu,5834.35,Yes
Mulugeta Yonas,7682.64,Yes
Eden Hussen,3301.61,Yes
Tadesse Biruk,2311.37,Yes
Tamrat Haile,7201.34,Yes
Redae Moges,118.82,Yes
Tariku Mesfin,6967.61,Yes
Tsegaye Endale,2440.56,Yes
Luwam Mitiku,3923.11,No
Mengistu Adamu,8130.2,No
Wondimu Samuel,550.37,Yes
Gelila Yared,8482.77,Yes
Sossina Mamo,5037.87,Yes
Sifan Legesse,8139.25,Yes
Kassahun Habtemariam,6648.35,Yes
Desalegn Mitiku,4953.54,No
Girma Wube,2213.56,Yes
Redae Yesuf,2693.39,Yes
Mahlet Getnet,3717.52,Yes
Lensa Yemane,4956.19,Yes
Wengel Girma,6100.74,Yes
Hussen Demeke,8103.23,Yes
Hewan Muluken,9267.95,Yes
Misgana Sintayehu,2483.21,Yes
Wolde Nega,4051.92,Yes
Habtemariam Kassaye,2435.11,Yes
Ayantu Yohannes,5677.0,No
Abebech Mamo,4489.58,Yes
Merid Berhanu,7726.38,No
Wondimu Tesfaye,4379.99,Yes
Habtamu Merid,9488.45,Yes
Demelash Tesfaye,6150.28,Yes
Wubit Misgana,2049.49,Yes
Gete Kidane,5675.89,Yes
Redae Mitiku,2493.99,Yes
Abigail Mekuria,6666.19,Yes
Hana Henok,9281.37,Yes
Kidist Mulugeta,798.3,Yes
Gebeyehu Desta,8580.39,Yes
Abigail Kassahun,7671.62,No
Haile Mitiku,8096.64,No
Nardos Dawit,6445.71,No
Endale Dawit,5426.77,Yes
Mesfin Henok,2667.26,No
Alemnesh Dagnachew,614.08,Yes
Tsegaye Yonas,2697.85,Yes
Mahlet Yared,3646.1,Yes
Hayat Moges,7255.94,Yes
Getachew Habtamu,3965.97,Yes
Gennet Eshetu,205.75,No
Mitiku Shiferaw,8415.53,Yes
Mulu Amare,4831.39,Yes
Adanech Habtemariam,9430.77,Yes
Kassahun Sintayehu,2242.42,No
Assefu Kidist,8408.29,Yes
Genet Sisay,673.3,No
Yemane Nebiyu,4678.78,Yes
Yeshi Hailu,2485.58,Yes
Fozia Mitiku,6679.35,No
Ruth Yilma,1375.69,Yes
Nega Worku,2141.88,Yes
Sossina Haile,6223.28,No
Tamrat Mekonnen,6368.73,Yes
Haile Mitiku,7216.02,Yes
Zewditu Girma,9891.91,Yes
Tena Yemane,5610.9,Yes
Mengistu Yemane,1414.25,Yes
Abebech Bekele,5489.78,Yes
Asnake Melaku,1744.33,Yes
Yonas Habtamu,4055.76,No
Sintayehu Eyob,4045.47,Yes
Selamawit Asnake,4530.72,Yes
Abebech Amare,5407.52,No
Mitiku Mesfin,6287.88,Yes
Zewditu Muluken,5062.24,Yes
Tadesse Melaku,6962.81,Yes
Kassahun Tariku,8214.34,No
Bisrat Tesfaye,4967.9,Yes
Dawit Mesfin,9953.54,Yes
Gete Misgana,9226.0,Yes
Dawit Zeleke,9938.19,Yes
Eden Mekuria,4298.21,Yes
Rahel Biruk,1205.79,No
Selam Binyam,6532.71,No
Luwam Yonas,3126.97,No
Nebiyu Tesfu,9718.78,No
Andargachew Abiyot,9153.38,Yes
Firehiwot Yared,8492.81,No
Teshome Teshome,4568.42,No
Getahun Getnet,7277.43,Yes
Zegeye Eshetu,5551.18,Yes
Girma Mitiku,3872.42,Yes
Zewdu Kassahun,6693.53,Yes
Rediet Yohannes,4798.92,Yes
Yewbdar Wondimu,7933.0,Yes
Getahun Eshetu,8220.14,Yes
Almaz Gizachew,5374.99,Yes
Getnet Nigussie,7600.01,No
Desalegn Zegeye,4234.42,Yes
Rahel Tesfaye,7807.42,Yes
Feven Haile,7106.33,Yes
Tigist Negusu,5772.84,Yes
Tamrat Shiferaw,8707.11,Yes
Hana Henok,6590.06,Yes
Selam Endale,9966.14,Yes
Sintayehu Yonas,7850.16,Yes
Tesfu Melaku,4145.74,No
Mihret Mulugeta,1846.52,Yes
Yesuf Henok,3848.2,Yes
Tariku Getahun,4109.69,Yes
Eyerusalem Mengistu,5363.89,Yes
Selam Mesfin,8276.19,Yes
Yohannes Desta,1266.79,Yes
Hiwot Worku,7138.92,Yes
Tigist Zegeye,9409.26,Yes
Wubit Yonas,6098.58,Yes
Gizachew Zegeye,1917.11,Yes
Chalachew Desta,6206.2,Yes
Ruth Mamo,7602.95,Yes
Amel Zerihun,5561.35,Yes
Helina Samuel,487.44,Yes
Wondimu Kebede,3614.46,Yes
Marta Getahun,1696.37,No
Merid Merid,9717.87,Yes
Marta Wondimu,2328.1,Yes
Melaku Gebeyehu,1043.78,Yes
Mitiku Tsegaye,2980.06,Yes
Bethelhem Yonas,3911.16,Yes
Mitiku Eyob,6679.66,Yes
Haimanot Bekele,7548.11,Yes
Mekdes Gizachew,3281.65,Yes
Melaku Hussen,6635.76,Yes
Milki Mulugeta,6297.14,No
Bereket Andargachew,4628.16,Yes
Adel Kidane,7989.55,Yes
Dagmawit Tsegaye,9093.84,Yes
Adel Hussen,3607.73,No
Bethelhem Tesfu,8214.17,Yes
Zewditu Hailemariam,9963.76,Yes
Zeleke Kebede,6263.87,Yes
Alem Abraham,7735.6,Yes
Tesfu Samuel,4110.82,No
Sintayehu Kassaye,3620.08,Yes
Ayisha Teshome,7736.7,Yes
Fozia Asnake,5945.8,Yes
Yeshi Zerihun,4764.91,Yes
Wolde Tilahun,4777.3,Yes
Mahlet Daniel,5421.61,Yes
Yonas Getahun,2996.09,No
Rahel Endale,5395.79,Yes
Gete Teshome,8343.08,Yes
Alem Getachew,7860.48,No
Zebene Yonas,725.9,Yes
Melaku Sintayehu,7564.9,Yes
Zewditu Getachew,1891.28,Yes
Rahel Tsegaye,7294.18,Yes
Kassahun Redae,7834.66,Yes
Desalegn Adamu,7562.3,Yes
Sintayehu Yemane,3154.83,Yes
Merid Wondimu,1708.45,No
Milki Endale,3829.46,Yes
Kassahun Yemane,3240.63,Yes
Yonas Wolde,7005.24,Yes
Worku Fekadu,2945.89,Yes
Hiwot Melaku,5802.96,Yes
Kebede Mamo,8072.23,Yes
Zewditu Tilahun,4055.55,Yes
Abebe Tilahun,5563.08,Yes
Feven Mengistu,865.2,Yes
Sara Yonas,4486.15,Yes
Mitiku Eshetu,8267.28,Yes
Tinsae Mulugeta,769.59,Yes
Nebiyu Leul,7715.89,No
Lomi Hailemariam,4436.44,Yes
Nardos Amare,5043.99,Yes
Samuel Wolde,9969.13,Yes
Wube Leul,2017.26,No
Gete Habtemariam,4041.25,Yes
Hayat Melaku,1197.32,Yes
Solomon Zewdu,2250.48,Yes
Lulit Tamrat,8858.49,No
Getahun Mekonnen,1290.91,Yes
Tsegaye Redae,4265.12,Yes
Zerihun Gizachew,7076.43,Yes
Eden Tilahun,8885.99,Yes
Assefu Mengistu,7648.58,Yes
Yonas Leul,5779.65,Yes
Binyam Kidist,3388.43,Yes
Almaz Mitiku,4588.83,Yes
Birhanu Negusu,2993.44,Yes
Hiwot Daniel,2333.0,Yes
Gennet Amare,5967.7,No
Mengistu Nebiyu,3986.52,Yes
Gebru Sisay,1547.99,Yes
Ermias Teshome,3660.39,Yes
Amare Zeleke,6854.98,Yes
Tsegaye Leul,3324.85,Yes
Mitiku Yesuf,4562.09,No
Legesse Mitiku,7458.24,Yes
Yeshi Kidane,6460.58,Yes
Meseret Binyam,7261.0,Yes
Amel Misgana,9537.65,Yes
Wolde Tariku,1522.38,Yes
Gebru Kebede,8835.73,No
Girma Binyam,6136.56,Yes
Mihret Melaku,5318.93,Yes
Mitiku Nega,366.76,Yes
Mitiku Dawit,7694.39,Yes
Gennet Teshome,3304.82,Yes
Birtukan Hailu,4513.82,Yes
Wube Mamo,4701.72,Yes
Wube Mitiku,8751.58,Yes
Luwam Teshome,8906.67,No
Tigist Wube,148.7,Yes
Hewan Amare,5772.69,No
Abebech Yemane,9155.97,Yes
Mulu Endale,2287.28,No
Getachew Chalachew,6049.27,Yes
Genet Endale,3059.78,Yes
Sifan Henok,9407.76,Yes
Yordanos Legesse,8732.21,Yes
Getahun Endale,8670.24,Yes
Daniel Zegeye,2912.69,Yes
Mengistu Eshetu,6993.5,Yes
Kidist Tesfu,5987.4,Yes
Yilma Andargachew,7663.88,Yes
Mitiku Abiyot,309.59,Yes
Haile Merid,9850.54,Yes
Birtukan Zegeye,8648.63,No
Hailu Tadese,7974.77,No
Eyob Desalegn,9021.14,Yes
Kassaye Gizachew,6660.93,Yes
Lulit Andargachew,6630.22,Yes
Yeshi Hailu,4242.86,Yes
Dawit Eyob,5310.67,No
Getnet Legesse,9698.09,Yes
Kassaye Kebede,2822.21,No
Yordanos Demelash,7553.56,Yes
Atikilt Yohannes,1040.7,Yes
Selam Yesuf,4869.7,Yes
Moges Mitiku,3846.06,Yes
Almaz Tsegaye,209.65,Yes
Mekonnen Samuel,2483.4,Yes
Amel Wube,932.88,No
Tadesse Habtemariam,8200.81,Yes
Kidist Tesfu,1348.51,Yes
Mihret Henok,3188.06,Yes
Selam Bekele,7262.41,Yes
Yilma Zewdu,8027.26,Yes
Teshome Samuel,829.44,Yes
Amel Bekele,800.18,No
Yonas Samuel,4119.77,Yes
Meaza Gebeyehu,1594.02,Yes
Tena Bekele,2515.45,No
Hussen Mesfin,314.66,No
Haile Mitiku,6016.8,Yes
Andargachew Desta,172.21,No
Asnake Kibrom,6833.94,Yes
Gete Dawit,9795.64,No
Marta Yared,4084.35,Yes
Birtukan Kidist,4169.46,Yes
Habtemariam Abraham,1177.32,Yes
Hiwot Henok,6268.21,No
Selamawit Berhanu,1476.98,Yes
Fikirte Tesfu,3268.59,Yes
Ruth Getnet,336.88,Yes
Sossina Hailu,5188.08,No
Rediet Nega,7387.15,No
Hirut Biruk,281.31,Yes
Tadese Sintayehu,8920.27,Yes
Tsion Birhanu,1254.67,Yes
Birtukan Biruk,4046.64,Yes
Biruk Mekonnen,5786.15,Yes
Fozia Melaku,7649.37,Yes
Mahlet Mulugeta,6260.52,Yes
Tigist Nigussie,8371.72,No
Zufan Eshetu,8963.75,Yes
Hirut Tesfu,8358.64,Yes
Sisay Demelash,9214.02,Yes
Abiyot Wolde,522.2,No
Nardos Melaku,1399.11,No
Zeleke Legesse,2004.82,Yes
Mamo Tamrat,822.35,Yes
Wube Tesfaye,2249.96,No
Naomi Andargachew,9940.16,Yes
Yodit Hailemariam,3616.63,No
Luwam Binyam,1775.04,Yes
Demeke Dawit,5815.42,Yes
Mulu Mitiku,5358.47,Yes
Rahel Berhanu,9232.31,Yes
Yohannes Yohannes,8467.63,Yes
Girma Tsegaye,8039.31,Yes
Wubit Yilma,3575.72,No
Fikirte Melaku,3197.82,Yes
Wengel Girma,9806.74,Yes
Zegeye Yohannes,6976.13,No
Hailemariam Desalegn,3682.29,Yes
Kibrom Yared,1387.76,Yes
Getahun Tamirat,307.87,Yes
Teshome Kassahun,2905.14,No
Yordanos Sisay,7404.06,Yes
Mekuria Yilma,1321.28,Yes
Wube Leul,1446.58,No
Mahlet Tariku,8052.77,Yes
Zebiba Kibrom,3333.08,Yes
Ayenalem Endale,1226.05,Yes
Marta Yared,3352.57,Yes
Hana Tadese,7801.95,No
Mengistu Mamo,8083.25,Yes
Dawit Mekuria,4507.11,Yes
Hawi Mitiku,9956.85,Yes
Bethelhem Abebe,2717.09,Yes
Kassahun Daniel,330.17,Yes
Girma Merid,1071.03,Yes
Amel Redae,4009.61,Yes
Feven Hailu,8293.63,Yes
Moges Endale,2183.42,Yes
Wubit Dawit,5112.87,Yes
Nebiyu Eyob,8810.57,Yes
Dawit Yonas,305.72,Yes
Yared Birhanu,7874.03,Yes
